1991	01	213.5	136.9	0.64	220.5	147.6	229.4	205.5	8	17.4
1991	02	270.2	167.5	0.62	221.5	147.6	243.0	206.3	10	18.4
1991	03	227.9	141.9	0.62	220.7	146.6	230.0	205.9	27	19.1
1991	04	215.9	140.0	0.65	220.7	146.5	198.8	206.8	17	20.0
1991	05	182.5	121.3	0.66	219.6	145.5	190.3	207.1	18	21.7
1991	06	231.8	169.7	0.73	218.9	145.2	206.8	207.4	44	23.0
1991	07	245.7	173.7	0.71	219.5	146.3	212.0	207.7	27	23.6
1991	08	251.5	176.3	0.70	218.3	146.6	210.3	206.8	30	24.7
1991	09	185.8	125.3	0.67	214.2	144.9	180.6	203.9	20	25.0
1991	10	220.1	144.1	0.65	208.4	141.7	201.3	199.7	31	24.3
1991	11	169.0	108.2	0.64	202.2	138.1	172.0	195.4	33	24.1
1991	12	217.7	144.4	0.66	193.7	131.7	223.9	188.9	15	23.0
1992	01	217.9	150.0	0.69	183.3	123.7	217.6	181.8	14	21.1
1992	02	238.2	161.1	0.68	171.8	115.4	232.1	174.8	31	19.8
1992	03	160.5	106.7	0.66	161.6	108.2	171.3	168.5	14	19.4
1992	04	144.0	99.8	0.69	154.3	103.3	158.5	162.9	11	18.9
1992	05	106.3	73.8	0.69	148.9	100.3	125.4	158.9	21	17.5
1992	06	104.7	65.2	0.62	143.3	97.1	116.7	154.3	15	16.6
1992	07	121.4	85.7	0.71	134.3	90.7	132.2	146.7	10	16.6
1992	08	99.5	64.5	0.65	124.4	84.0	122.1	138.9	15	16.1
1992	09	93.8	63.9	0.68	117.5	79.5	116.8	133.8	25	15.9
1992	10	136.2	88.7	0.65	113.4	76.4	131.7	130.5	15	16.7
1992	11	124.3	91.8	0.74	110.4	74.4	145.2	128.2	14	16.6
1992	12	127.4	82.6	0.65	107.7	73.2	139.1	127.4	13	16.1
1993	01	92.1	59.3	0.64	104.5	71.4	121.0	125.7	17	16.0
1993	02	126.1	91.0	0.72	101.2	69.3	142.6	123.1	16	15.9
1993	03	107.4	69.8	0.65	97.0	66.6	136.4	120.7	24	15.3
1993	04	98.6	62.2	0.63	91.9	63.6	115.9	118.1	19	14.9
1993	05	79.1	61.3	0.77	86.2	59.9	112.4	114.8	12	14.9
1993	06	68.5	49.8	0.73	81.0	56.1	109.3	111.3	12	15.0
1993	07	81.6	57.9	0.71	78.7	54.7	99.0	109.6	10	14.9
1993	08	59.4	42.2	0.71	75.7	52.3	93.7	107.6	12	15.4
1993	09	33.5	22.4	0.67	70.7	48.4	87.0	103.9	15	16.0
1993	10	73.5	56.4	0.77	65.5	44.9	100.3	100.4	14	16.4
1993	11	51.0	35.6	0.70	60.8	41.2	95.9	97.5	15	17.4
1993	12	75.9	48.9	0.64	57.9	38.4	104.8	94.8	14	18.1
1994	01	86.4	57.8	0.67	55.6	36.6	115.0	92.7	15	18.2
1994	02	60.5	35.5	0.59	53.5	34.8	99.6	91.2	30	18.1
1994	03	52.4	31.7	0.60	52.9	34.1	90.4	90.2	24	17.8
1994	04	29.3	16.1	0.55	53.0	33.7	79.1	89.3	29	18.0
1994	05	35.4	17.8	0.50	51.9	32.5	79.9	88.1	26	18.3
1994	06	42.6	28.0	0.66	49.6	30.8	77.3	86.4	14	18.2
1994	07	52.7	35.1	0.67	46.1	28.5	80.5	83.9	11	18.1
1994	08	38.4	22.5	0.59	43.8	26.8	76.1	82.0	8	17.5
1994	09	40.5	25.7	0.63	43.4	26.6	79.0	81.2	12	16.5
1994	10	67.1	44.0	0.66	43.2	26.5	87.7	80.9	22	15.5
1994	11	33.0	18.0	0.55	42.5	26.2	80.9	80.6	14	14.7
1994	12	38.7	26.2	0.68	41.4	25.6	77.4	80.4	13	14.2
1995	01	39.8	24.2	0.61	39.6	24.2	82.7	80.1	14	14.0
1995	02	51.3	29.9	0.58	37.8	23.0	85.6	79.7	15	13.9
1995	03	51.9	31.1	0.60	36.3	22.1	85.1	79.3	15	14.0
1995	04	23.6	14.0	0.59	33.8	20.6	77.7	78.6	16	13.8
1995	05	24.6	14.5	0.59	31.6	19.2	75.5	77.9	18	13.3
1995	06	27.8	15.6	0.56	29.9	18.2	75.7	77.4	11	12.9
1995	07	23.8	14.5	0.61	28.1	17.0	73.9	76.9	8	12.5
1995	08	25.1	14.3	0.57	25.4	15.4	73.8	76.0	9	12.1
1995	09	16.5	11.8	0.72	22.0	13.4	72.0	74.8	13	11.8
1995	10	31.6	21.1	0.67	19.7	12.1	77.9	73.8	16	11.4
1995	11	15.7	9.0	0.57	18.5	11.3	74.2	73.2	9	10.7
1995	12	16.2	10.0	0.62	17.6	10.8	72.6	72.8	9	10.0
1996	01	17.6	11.5	0.65	16.8	10.4	74.5	72.4	9	9.7
1996	02	9.1	4.4	0.48	16.2	10.1	71.5	72.2	10	9.7
1996	03	12.1	9.2	0.76	15.4	9.7	70.7	72.1	11	9.8
1996	04	8.5	4.8	0.56	13.6	8.4	69.3	71.6	11	9.7
1996	05	11.8	5.5	0.47	12.9	8.0	70.1	71.4	7	9.5
1996	06	18.8	11.8	0.63	13.5	8.5	69.6	71.8	5	9.4
1996	07	13.2	8.2	0.62	13.4	8.4	71.2	72.0	7	9.3
1996	08	20.5	14.4	0.70	13.1	8.3	72.4	72.1	9	9.4
1996	09	2.9	1.6	0.55	13.3	8.4	69.4	72.3	15	9.3
1996	10	2.3	0.9	0.39	14.0	8.8	69.2	72.6	13	9.1
